일자,수익률,대비,종목명
2022-08-02,3.088,-0.096,국채10년
2022-08-03,3.131,0.043,국채10년
2022-08-04,3.152,0.021,국채10년
2022-08-05,3.124,-0.028,국채10년
2022-08-08,3.177,0.053,국채10년
2022-08-09,3.166,-0.011,국채10년
2022-08-10,3.207,0.041,국채10년
2022-08-11,3.219,0.012,국채10년
2022-08-12,3.282,0.063,국채10년
2022-08-16,3.156,-0.126,국채10년
2022-08-17,3.188,0.032,국채10년
2022-08-18,3.221,0.033,국채10년
2022-08-19,3.31,0.089,국채10년
2022-08-22,3.342,0.032,국채10년
2022-08-23,3.361,0.019,국채10년
2022-08-24,3.433,0.072,국채10년
2022-08-25,3.593,0.16,국채10년
2022-08-26,3.616,0.023,국채10년
2022-08-29,3.715,0.099,국채10년
2022-08-30,3.695,-0.02,국채10년
2022-08-31,3.721,0.026,국채10년
2022-09-01,3.805,0.084,국채10년
2022-09-02,3.738,-0.067,국채10년
2022-09-05,3.67,-0.068,국채10년
2022-09-06,3.712,0.042,국채10년
2022-09-07,3.736,0.024,국채10년
2022-09-08,3.622,-0.114,국채10년
2022-09-13,3.62,-0.002,국채10년
2022-09-14,3.651,0.031,국채10년
2022-09-15,3.791,0.14,국채10년
2022-09-16,3.772,-0.019,국채10년
2022-09-19,3.794,0.022,국채10년
2022-09-20,3.836,0.042,국채10년
2022-09-21,3.891,0.055,국채10년
2022-09-22,3.997,0.106,국채10년
2022-09-23,4.112,0.115,국채10년
2022-09-26,4.335,0.223,국채10년
2022-09-27,4.208,-0.127,국채10년
2022-09-28,4.332,0.124,국채10년
2022-09-29,4.229,-0.103,국채10년
2022-09-30,4.096,-0.133,국채10년
2022-10-04,4.006,-0.09,국채10년
2022-10-05,4.102,0.096,국채10년
2022-10-06,4.102,0.0,국채10년
2022-10-07,4.214,0.112,국채10년
2022-10-11,4.306,0.092,국채10년
2022-10-12,4.11,-0.196,국채10년
2022-10-13,4.239,0.129,국채10년
2022-10-14,4.181,-0.058,국채10년
2022-10-17,4.215,0.034,국채10년
2022-10-18,4.277,0.062,국채10년
2022-10-19,4.396,0.119,국채10년
2022-10-20,4.439,0.043,국채10년
2022-10-21,4.632,0.193,국채10년
2022-10-24,4.503,-0.129,국채10년
2022-10-25,4.346,-0.157,국채10년
2022-10-26,4.279,-0.067,국채10년
2022-10-27,4.313,0.034,국채10년
2022-10-28,4.167,-0.146,국채10년
2022-10-31,4.242,0.075,국채10년
2022-11-01,4.135,-0.107,국채10년
2022-11-02,4.143,0.008,국채10년
2022-11-03,4.197,0.054,국채10년
2022-11-04,4.182,-0.015,국채10년
2022-11-07,4.258,0.076,국채10년
2022-11-08,4.236,-0.022,국채10년
2022-11-09,4.177,-0.059,국채10년
2022-11-10,4.07,-0.107,국채10년
2022-11-11,3.894,-0.176,국채10년
2022-11-14,3.928,0.034,국채10년
2022-11-15,3.861,-0.067,국채10년
2022-11-16,3.896,0.035,국채10년
2022-11-17,3.853,-0.043,국채10년
2022-11-18,3.801,-0.052,국채10년
2022-11-21,3.764,-0.037,국채10년
2022-11-22,3.773,0.009,국채10년
2022-11-23,3.774,0.001,국채10년
2022-11-24,3.622,-0.152,국채10년
2022-11-25,3.623,0.001,국채10년
2022-11-28,3.606,-0.017,국채10년
2022-11-29,3.673,0.067,국채10년
2022-11-30,3.667,-0.006,국채10년
2022-12-01,3.663,-0.004,국채10년
2022-12-02,3.583,-0.08,국채10년
2022-12-05,3.549,-0.034,국채10년
2022-12-06,3.504,-0.045,국채10년
2022-12-07,3.523,0.019,국채10년
2022-12-08,3.53,0.007,국채10년
2022-12-09,3.491,-0.039,국채10년
2022-12-12,3.448,-0.043,국채10년
2022-12-13,3.469,0.021,국채10년
2022-12-14,3.406,-0.063,국채10년
2022-12-15,3.38,-0.026,국채10년
2022-12-16,3.36,-0.02,국채10년
2022-12-19,3.395,0.035,국채10년
2022-12-20,3.603,0.208,국채10년
2022-12-21,3.566,-0.037,국채10년
2022-12-22,3.495,-0.071,국채10년
2022-12-23,3.552,0.057,국채10년
2022-12-26,3.639,0.087,국채10년
2022-12-27,3.611,-0.028,국채10년
2022-12-28,3.673,0.062,국채10년
2022-12-29,3.726,0.053,국채10년
2022-12-30,3.73,0.004,국채10년
2023-01-02,3.811,0.081,국채10년
2023-01-03,3.661,-0.15,국채10년
2023-01-04,3.597,-0.064,국채10년
2023-01-05,3.571,-0.026,국채10년
2023-01-06,3.573,0.002,국채10년
2023-01-09,3.477,-0.096,국채10년
2023-01-10,3.462,-0.015,국채10년
2023-01-11,3.417,-0.045,국채10년
2023-01-12,3.412,-0.005,국채10년
2023-01-13,3.3,-0.112,국채10년
2023-01-16,3.383,0.083,국채10년
2023-01-17,3.444,0.061,국채10년
2023-01-18,3.337,-0.107,국채10년
2023-01-19,3.222,-0.115,국채10년
2023-01-20,3.279,0.057,국채10년
2023-01-25,3.229,-0.05,국채10년
2023-01-26,3.231,0.002,국채10년
2023-01-27,3.283,0.052,국채10년
